dropoff_zone,dropoff_borough,trip_count
Upper East Side North,Manhattan,405066
Upper East Side South,Manhattan,372219
Midtown Center,Manhattan,338637
Times Sq/Theatre District,Manhattan,264472
Murray Hill,Manhattan,263504
Upper West Side South,Manhattan,250008
Lincoln Square East,Manhattan,248729
Lenox Hill West,Manhattan,246190
Midtown East,Manhattan,245205
Clinton East,Manhattan,223549
East Chelsea,Manhattan,216729
Midtown North,Manhattan,213898
Union Sq,Manhattan,211311
Upper West Side North,Manhattan,207862
Penn Station/Madison Sq West,Manhattan,196344
