pickup_date,trip_count
2023-01-01,70025
2023-01-02,61891
2023-01-03,80562
2023-01-04,89534
2023-01-05,95193
2023-01-06,96632
2023-01-07,99195
2023-01-08,80177
2023-01-09,80079
2023-01-10,94329
2023-01-11,100180
2023-01-12,104467
2023-01-13,104139
2023-01-14,106575
2023-01-15,91136
2023-01-16,75514
2023-01-17,95097
2023-01-18,100168
2023-01-19,107371
2023-01-20,103199
2023-01-21,105673
2023-01-22,84248
2023-01-23,84259
2023-01-24,97910
2023-01-25,102154
2023-01-26,108067
2023-01-27,105211
2023-01-28,105158
2023-01-29,82852
2023-01-30,78648
2023-01-31,94488
2023-02-01,101018
2023-02-02,106047
2023-02-03,106666
2023-02-04,90981
2023-02-05,78605
2023-02-06,85407
2023-02-07,99775
2023-02-08,102062
2023-02-09,108296
2023-02-10,107543
2023-02-11,107610
2023-02-12,88532
2023-02-13,87381
2023-02-14,101833
2023-02-15,103966
2023-02-16,106101
2023-02-17,104449
2023-02-18,98795
2023-02-19,84521
2023-02-20,74878
2023-02-21,94016
2023-02-22,104266
2023-02-23,108526
2023-02-24,108229
2023-02-25,106060
2023-02-26,85445
2023-02-27,86797
2023-02-28,94737
2023-03-01,108248
2023-03-02,111773
2023-03-03,108862
2023-03-04,105679
2023-03-05,90865
2023-03-06,87778
2023-03-07,106871
2023-03-08,111708
2023-03-09,114386
2023-03-10,113547
2023-03-11,104323
2023-03-12,89215
2023-03-13,93892
2023-03-14,100749
2023-03-15,112334
2023-03-16,116411
2023-03-17,105504
2023-03-18,114012
2023-03-19,94164
2023-03-20,85699
2023-03-21,95623
2023-03-22,99667
2023-03-23,106960
2023-03-24,103892
2023-03-25,107900
2023-03-26,88144
2023-03-27,90038
2023-03-28,98169
2023-03-29,104638
2023-03-30,111832
2023-03-31,107602
